Song,Youtube Views,Youtube Likes,Comments,Popularity,Youtube Popularity
Attention,69458345,1752347,69511400,49157156.6,18.334386855892518
Cookie,103337132,1332351,103467254,72761722.1,30.345013422950366
Hype Boy,297684115,3994967,298072950,209655137.6,100.0
Ditto,71320413,2429752,71422442,50673620.5,19.10600375370511
ASAP,29066387,920340,29106393,20630574.1,3.819307997869583
Cool With You,29759795,1258721,29785982,21214710.200000003,4.116531878624244
ETA,83729884,1339528,84009381,59068676.599999994,23.377630097625783
New Jeans,32703720,1202254,32742551,23261046.4,5.157761802083423
OMG,37451388,1517147,37489260,26678690.1,6.896749211953683
Super Shy,211847528,2698385,212198457,149172970.9,69.22507562360165
Bubble Gum,59818853,1515906,59985183,42361234.900000006,14.876442344367199
How Sweet,40770628,934260,41092111,28884014.2,8.018876379447315
Right Now,18466609,595950,18561864,13124462.3,0.0
Supernatural,40889160,931621,41409064,29005879.1,8.080884460279469
